id,RM,AGE,DIS,RAD,TAX
1,-0.1444,0.1733,-0.1989,0.6283,0.4919
2,-0.1153,0.3236,-0.2155,0.6283,0.4919
3,-0.4113,0.3236,-0.2380,0.6283,0.4919
4,-0.1296,0.3236,-0.2282,0.6283,0.4919
5,-0.1279,0.3020,-0.2128,0.6283,0.4919
6,0.1087,0.3236,-0.2118,0.6283,0.4919
7,-0.1011,0.3236,-0.2166,0.6283,0.4919
8,0.0713,0.3236,-0.2062,0.6283,0.4919
9,-0.3174,0.3236,-0.2038,0.6283,0.4919
10,-0.2164,0.3236,-0.2006,0.6283,0.4919
11,-0.3383,0.3236,-0.1943,0.6283,0.4919
12,0.0286,0.3236,-0.1783,0.6283,0.4919
13,0.0953,0.2289,-0.1796,0.6283,0.4919
14,-0.1879,0.2114,-0.1953,0.6283,0.4919
15,-0.0628,0.3236,-0.1812,0.6283,0.4919
16,0.1033,0.0816,-0.1820,0.6283,0.4919
17,0.0242,0.3236,-0.1761,0.6283,0.4919
18,-0.0534,0.2752,-0.1746,0.6283,0.4919
19,-0.1220,0.1959,-0.1677,0.6283,0.4919
20,-0.0348,0.1702,-0.1612,0.6283,0.4919
21,-0.1379,0.0209,-0.1575,0.6283,0.4919
22,-0.0745,0.2763,-0.1715,0.6283,0.4919
23,-0.0858,-0.0914,-0.1634,0.6283,0.4919
24,-0.0158,0.1043,-0.1757,0.6283,0.4919
25,-0.0176,0.0981,-0.1691,0.6283,0.4919
26,0.0183,0.2783,-0.1661,0.6283,0.4919
27,0.0121,0.1805,-0.1584,0.6283,0.4919
28,0.1051,0.2649,-0.1552,0.6283,0.4919
29,0.0269,0.0641,-0.1450,0.6283,0.4919
30,0.0290,0.1990,-0.1345,0.6283,0.4919
31,-0.0147,0.2721,-0.1430,0.6283,0.4919
32,0.0660,0.2680,-0.1519,0.6283,0.4919
33,0.0338,0.2546,-0.1630,0.6283,0.4919
34,-0.0254,0.3236,-0.1710,0.6283,0.4919
35,-0.0670,0.1990,-0.1795,0.6283,0.4919
36,-0.1260,0.2608,-0.1799,0.6283,0.4919
37,-0.0894,0.2454,-0.1754,0.6283,0.4919
38,0.0233,0.2948,-0.1573,0.6283,0.4919
39,-0.0126,0.3236,-0.1628,0.6283,0.4919
40,0.0384,0.3236,-0.1652,0.6283,0.4919
41,-0.0825,0.2886,-0.1727,0.6283,0.4919
42,0.0334,0.2701,-0.1643,0.6283,0.4919
43,0.0108,0.2866,-0.1567,0.6283,0.4919
44,-0.0064,0.2886,-0.1452,0.6283,0.4919
45,-0.0191,0.3102,-0.1394,0.6283,0.4919
46,0.0254,0.3061,-0.1464,0.6283,0.4919
47,0.0890,0.2474,-0.1338,0.6283,0.4919
48,0.0710,0.3051,-0.1309,0.6283,0.4919
49,0.0024,0.2392,-0.1297,0.6283,0.4919
50,0.2124,0.3164,-0.1221,0.6283,0.4919
51,0.0850,0.2629,-0.1181,0.6283,0.4919
52,0.0461,0.1846,-0.1236,0.6283,0.4919
53,-0.0591,0.1990,-0.1104,0.6283,0.4919
54,-0.0668,0.1208,-0.0924,0.6283,0.4919
55,0.0031,0.1558,-0.0920,0.6283,0.4919
56,-0.0390,0.1630,-0.0980,0.6283,0.4919
57,0.0798,0.2206,-0.1089,0.6283,0.4919
58,0.0175,0.2042,-0.1117,0.6283,0.4919
59,0.0062,0.1486,-0.0964,0.6283,0.4919
60,0.0438,0.2196,-0.0903,0.6283,0.4919
61,-0.0145,-0.0327,-0.0756,0.6283,0.4919
62,-0.1007,-0.2098,-0.0662,0.6283,0.4919
63,-0.0637,0.1661,-0.0840,0.6283,0.4919
64,-0.0540,0.2670,-0.1141,0.6283,0.4919
65,-0.0687,0.0250,-0.0806,0.6283,0.4919
66,-0.1095,-0.1223,-0.0883,0.6283,0.4919
67,-0.0225,0.1589,-0.0693,0.6283,0.4919
68,-0.0107,0.2279,-0.0633,0.6283,0.4919
69,0.0292,0.0662,-0.0817,0.6283,0.4919
70,0.1332,-0.0100,-0.1148,0.6283,0.4919
71,-0.1643,0.2763,-0.1241,0.6283,0.4919
72,-0.0235,0.2969,-0.1445,0.6283,0.4919
73,0.0382,0.2577,-0.1355,0.6283,0.4919
74,-0.1879,0.2958,-0.1541,0.6283,0.4919
75,-0.0191,0.2897,-0.1477,0.6283,0.4919
76,-0.0107,0.2001,-0.1677,0.6283,0.4919
77,-0.0082,-0.0399,-0.0337,0.6283,0.4919
78,0.0892,0.0651,-0.0421,0.6283,0.4919
79,0.1488,0.0868,-0.0350,0.6283,0.4919
80,-0.1001,-0.2912,0.0276,0.6283,0.4919
81,-0.0793,-0.2747,-0.0065,0.6283,0.4919
82,0.0052,-0.1717,0.0179,0.6283,0.4919
83,-0.0327,0.1156,-0.0227,0.6283,0.4919
84,-0.0727,-0.1583,-0.0584,0.6283,0.4919
85,-0.1592,0.2485,-0.1795,-0.2413,0.5778
86,-0.1668,0.3061,-0.1855,-0.2413,0.5778
87,-0.2283,0.3030,-0.1794,-0.2413,0.5778
88,-0.0578,0.3113,-0.1752,-0.2413,0.5778
89,-0.0578,0.1537,-0.1532,-0.2413,0.5778
90,-0.1107,-0.1501,-0.1285,-0.1543,-0.0329
91,-0.0687,-0.2675,-0.1285,-0.1543,-0.0329
92,-0.1178,-0.4096,-0.0906,-0.1543,-0.0329
93,-0.1714,0.0445,-0.0906,-0.1543,-0.0329
94,-0.0940,0.0209,-0.0821,-0.1543,-0.0329
95,-0.0509,-0.0337,-0.1260,-0.1543,-0.0329
96,-0.1371,0.0507,-0.1269,-0.1543,-0.0329
97,-0.0494,0.1146,-0.1179,-0.1543,-0.0329
98,0.0591,0.0054,-0.1197,-0.3717,-0.2581
99,-0.0315,0.0837,-0.1371,-0.3717,-0.2581
100,0.1325,0.2309,-0.1480,-0.3717,-0.2581
101,0.0976,0.2134,-0.1279,-0.3717,-0.2581
102,-0.0488,0.1259,-0.1173,-0.3717,-0.2581