id,PTRATIO,B,LSTAT,MEDV
1,-0.3357,0.1014,-0.2117,24.0000
2,-0.0697,0.1014,-0.0969,21.6000
3,-0.0697,0.0912,-0.2379,34.7000
4,0.0260,0.0957,-0.2680,33.4000
5,0.0260,0.1014,-0.2021,36.2000
6,0.0260,0.0944,-0.2054,28.7000
7,-0.3463,0.0982,-0.0062,22.9000
8,-0.3463,0.1014,0.1793,27.1000
9,-0.3463,0.0755,0.4767,16.5000
10,-0.3463,0.0757,0.1227,18.9000
11,-0.3463,0.0904,0.2151,15.0000
12,-0.3463,0.1014,0.0170,18.9000
13,-0.3463,0.0853,0.0844,21.7000
14,0.2707,0.1014,-0.1212,20.4000
15,0.2707,0.0589,-0.0660,18.2000
16,0.2707,0.0982,-0.1154,19.9000
17,0.2707,0.0761,-0.1676,23.1000
18,0.2707,0.0758,0.0557,17.5000
19,0.2707,-0.1707,-0.0266,20.2000
20,0.2707,0.0864,-0.0379,18.2000
21,0.2707,0.0502,0.2309,13.6000
22,0.2707,0.0904,0.0325,19.6000
23,0.2707,0.1014,0.1674,15.2000
24,0.2707,0.0955,0.1994,14.5000
25,0.2707,0.0950,0.1006,15.6000
26,0.2707,-0.1343,0.1064,13.9000
27,0.2707,0.0510,0.0595,16.6000
28,0.2707,-0.1268,0.1277,14.8000
29,0.2707,0.0788,0.0041,18.4000
30,0.2707,0.0594,-0.0186,21.0000
31,0.2707,0.0088,0.2745,12.7000
32,0.2707,0.0506,0.0107,14.5000
33,0.2707,-0.3129,0.4155,13.2000
34,0.2707,0.0053,0.1572,13.1000
35,0.2707,-0.2732,0.2121,13.5000
36,0.0792,0.1014,-0.0820,18.9000
37,0.0792,0.0527,-0.0343,20.0000
38,0.0792,0.1014,-0.1071,21.0000
39,0.0792,0.0927,-0.0696,24.7000
40,-0.0165,0.0982,-0.2299,30.8000
41,-0.0165,0.0982,-0.2945,34.9000
42,-0.0591,0.0725,-0.2156,26.6000
43,-0.0591,0.0673,-0.1888,25.3000
44,-0.0591,0.0953,-0.1438,24.7000
45,-0.0591,0.0825,-0.0856,21.2000
46,-0.0591,0.1014,-0.0674,19.3000
47,-0.0591,0.1014,0.0413,20.0000
48,-0.0591,0.0909,0.1696,16.6000
49,-0.0591,0.1014,0.5010,14.4000
50,-0.0591,0.1014,0.0979,19.4000
51,-0.1761,0.0981,0.0220,19.7000
52,-0.1761,0.0940,-0.0889,20.5000
53,-0.1761,0.1014,-0.2035,25.0000
54,-0.1761,0.1014,-0.1165,23.4000
55,0.2813,0.1014,0.0592,18.9000
56,-0.0591,0.0990,-0.2164,35.4000
57,-0.1229,0.1014,-0.1899,24.7000
58,-0.3570,0.0913,-0.2402,31.6000
59,0.1324,0.0857,-0.1599,23.3000
60,0.1324,0.1014,-0.0947,19.6000
61,0.1324,0.0969,0.0137,18.7000
62,0.1324,0.0540,0.0493,16.0000
63,0.1324,0.1014,-0.1634,22.2000
64,0.1324,0.0981,-0.0870,25.0000
65,0.0154,0.0922,-0.1270,33.0000
66,-0.2506,0.1014,-0.2203,23.5000
67,-0.2506,0.1014,-0.0666,19.4000
68,0.0473,0.0997,-0.1256,22.0000
69,0.0473,0.1014,0.0121,17.4000
70,0.0473,0.1014,-0.1066,20.9000
71,0.0792,0.0682,-0.1637,24.2000
72,0.0792,0.0511,-0.0765,21.7000
73,0.0792,0.0863,-0.1968,22.8000
74,0.0792,0.0517,-0.1411,23.4000
75,0.0260,0.0964,-0.1621,24.1000
76,0.0260,0.0670,-0.1025,21.4000
77,0.0260,0.0428,-0.0188,20.0000
78,0.0260,0.0764,-0.0658,20.8000
79,0.0260,0.0750,-0.0086,21.2000
80,0.0260,0.0993,-0.0980,20.3000
81,0.0579,0.1014,-0.2032,28.0000
82,0.0579,0.0982,-0.1499,23.9000
83,0.0579,0.1014,-0.1637,24.8000
84,0.0579,0.0856,-0.1419,22.9000
85,0.0047,0.1014,-0.0837,23.9000
86,0.0047,0.0898,-0.1690,26.6000
87,0.0047,0.0991,0.0057,22.5000
88,0.0047,0.0970,-0.1163,22.2000
89,-0.0697,0.1014,-0.1974,23.6000
90,-0.0697,0.0993,-0.1919,28.7000
91,-0.0697,0.0895,-0.1060,22.6000
92,-0.0697,0.0930,-0.1229,22.0000
93,-0.0272,0.0967,-0.1240,22.9000
94,-0.0272,0.1000,-0.1778,25.0000
95,-0.0272,0.1014,-0.0569,20.6000
96,-0.0485,0.0033,-0.1656,28.4000
97,-0.0485,0.0886,-0.0362,21.4000
98,-0.0485,0.1014,-0.2330,38.7000
99,-0.0485,0.0929,-0.2506,43.8000
100,-0.0485,0.1014,-0.1783,33.2000
101,0.2600,0.0960,-0.0892,27.5000
102,0.2600,0.0981,-0.1375,26.5000
103,0.2600,-0.7208,-0.0558,18.6000
104,0.2600,0.0953,0.0217,19.3000
105,0.2600,0.0908,-0.0089,20.1000
106,0.2600,0.0942,0.1053,19.5000
107,0.2600,0.0983,0.1658,19.5000
108,0.2600,0.0782,0.0397,20.4000
109,0.2600,0.0972,-0.0106,19.8000
110,0.2600,0.0871,0.0799,19.4000
111,0.2600,0.0928,0.0096,21.7000
112,-0.0697,0.0981,-0.0688,22.8000
113,-0.0697,0.0965,0.0981,18.8000
114,-0.0697,0.1014,0.1224,18.7000
115,-0.0697,0.0809,-0.0608,18.5000
116,-0.0697,-0.0297,0.0857,18.3000
117,-0.0697,0.0924,-0.0169,21.2000
118,-0.0697,0.0954,-0.0649,19.2000
119,-0.0697,-0.0455,0.0750,20.4000
120,-0.0697,0.0878,0.0264,19.3000
121,0.0686,0.0819,0.0474,22.0000
122,0.0686,0.0529,0.0446,20.3000
123,0.0686,0.0540,0.1456,20.5000
124,0.0686,0.0344,0.3520,17.3000
125,0.0686,0.0573,0.1360,18.8000
126,0.0686,0.0715,0.0595,21.4000
127,0.0686,0.0066,0.4031,15.7000
128,0.2920,0.0894,0.1252,16.2000
129,0.2920,0.1014,0.0755,18.0000
130,0.2920,0.1014,0.1569,14.3000
131,0.2920,0.0967,-0.0015,19.2000
132,0.2920,0.1014,-0.0108,19.6000
133,0.2920,0.0733,-0.0423,23.0000
134,0.2920,0.0807,0.0656,18.4000
135,0.2920,-0.2368,0.1285,15.6000
136,0.2920,0.0958,0.1188,18.1000
137,0.2920,0.0544,0.1172,17.4000
138,0.2920,0.0943,0.0534,17.1000
139,0.2920,0.0892,0.2392,13.3000
140,0.2920,0.1014,0.1602,17.8000
141,0.2920,0.0792,0.3175,14.0000
142,0.2920,0.1014,0.6004,14.4000
143,-0.3995,0.1014,0.3909,13.4000
144,-0.3995,0.1014,0.3799,15.6000
145,-0.3995,0.1014,0.4591,11.8000
146,-0.3995,-0.4634,0.4180,13.8000
147,-0.3995,-0.4726,0.1103,15.6000
148,-0.3995,0.0883,0.4657,14.6000
149,-0.3995,0.0008,0.4323,17.8000
150,-0.3995,-0.0122,0.2427,15.4000
151,-0.3995,0.0407,0.0399,21.5000
152,-0.3995,-0.0380,0.0173,19.6000
153,-0.3995,-0.0338,-0.0147,15.3000
154,-0.3995,-0.2389,0.0866,19.4000
155,-0.3995,-0.0899,0.0681,17.0000
156,-0.3995,-0.6775,0.0653,15.6000
157,-0.3995,-0.6759,0.0962,13.1000
158,-0.3995,0.0170,-0.2225,41.3000
159,-0.3995,-0.0070,-0.1717,24.3000
160,-0.3995,0.0193,-0.1452,23.3000
161,-0.3995,-0.0448,-0.1974,27.0000
162,-0.3995,0.0448,-0.3014,50.0000
163,-0.3995,0.0830,-0.2962,50.0000
164,-0.3995,0.0801,-0.2575,50.0000
165,-0.3995,0.0969,-0.0280,22.7000
166,-0.3995,-0.2938,-0.0785,25.0000
167,-0.3995,0.0318,-0.2470,50.0000
168,-0.3995,-0.3254,-0.0142,23.8000
169,-0.3995,-0.1502,-0.0429,23.8000
170,-0.3995,-0.0672,-0.0368,22.3000
171,-0.3995,-0.1623,0.0490,17.4000
172,-0.3995,-0.0215,-0.0172,19.1000
173,-0.1974,0.1014,0.0562,23.1000
174,-0.1974,0.0979,-0.0997,23.6000
175,-0.1974,0.0922,-0.0831,22.6000
176,-0.1974,0.0865,-0.2021,29.4000
177,-0.1974,0.0922,-0.0702,23.2000
178,-0.1974,0.0982,-0.1756,24.6000
179,-0.1974,0.0872,-0.1582,29.9000
180,-0.0697,0.1014,-0.2101,37.2000
181,-0.0697,0.0981,-0.1405,39.8000
182,-0.0697,0.1014,-0.0884,36.2000
183,-0.0697,0.0944,-0.2161,37.9000
184,-0.0697,0.1014,-0.1924,32.5000
185,-0.0697,0.0866,0.0366,26.4000
186,-0.0697,0.0767,0.0137,29.6000
187,-0.0697,0.0907,-0.2264,50.0000
188,-0.3463,0.0938,-0.1648,32.0000
189,-0.3463,0.0660,-0.2233,29.8000
190,-0.3463,0.1014,-0.2004,34.9000
191,-0.3463,0.0530,-0.2084,37.0000
192,-0.3463,0.0833,-0.2197,30.5000
193,-0.3463,0.0853,-0.2700,36.4000
194,-0.3038,0.0925,-0.2103,31.1000
195,-0.3038,0.0505,-0.2283,29.1000
196,-0.4314,0.0947,-0.2672,50.0000
197,-0.6229,0.1014,-0.2366,33.3000
198,-0.6229,-0.0060,-0.1116,30.3000
199,-0.6229,0.0896,-0.1665,34.6000
200,-0.1548,0.1014,-0.2233,34.9000
201,-0.1548,0.0697,-0.2264,32.9000
202,-0.3995,0.0935,-0.1441,24.1000
203,-0.3995,0.0976,-0.2633,42.3000
204,-0.3995,0.0910,-0.2440,48.5000
205,-0.3995,0.0854,-0.2697,50.0000
206,0.0154,0.1014,-0.0492,22.6000
207,0.0154,0.0963,-0.0464,24.4000
208,0.0154,0.0826,0.1492,22.5000
209,0.0154,0.0621,0.0554,24.4000
210,0.0154,0.1014,0.2880,20.0000
211,0.0154,0.0922,0.1274,21.7000
212,0.0154,0.0972,0.3126,19.3000
213,0.0154,0.0864,0.0932,22.4000
214,0.0154,0.0735,-0.0903,28.1000
215,0.0154,-0.0195,0.4663,23.7000
216,0.0154,0.0932,-0.0878,25.0000
217,-0.2187,0.0911,0.0236,23.3000
218,-0.2187,0.0910,-0.0818,28.7000
219,-0.2187,0.1014,0.1453,21.5000
220,-0.2187,0.0935,-0.0594,23.0000
221,-0.1123,0.0883,-0.0812,26.7000
222,-0.1123,0.0972,0.2430,21.7000
223,-0.1123,0.0850,-0.0751,27.5000
224,-0.1123,0.1014,-0.1394,30.1000
225,-0.1123,0.0716,-0.2349,44.8000
226,-0.1123,0.0639,-0.2214,50.0000
227,-0.1123,0.0774,-0.2628,37.6000
228,-0.1123,0.0388,-0.1736,31.6000
229,-0.1123,0.0525,-0.2410,46.7000
230,-0.1123,0.0597,-0.2454,31.5000
231,-0.1123,0.0547,-0.0277,24.3000
232,-0.1123,0.0491,-0.2043,31.7000
233,-0.1123,0.0737,-0.2810,41.7000
234,-0.1123,0.0562,-0.2402,48.3000
235,-0.1123,0.0089,-0.1270,29.0000
236,-0.1123,0.0506,-0.0489,24.0000
237,-0.1123,0.0801,-0.0859,25.1000
238,-0.1123,0.0842,-0.2186,31.5000
239,-0.1974,0.0573,-0.1736,23.7000
240,-0.1974,0.0683,-0.1458,23.3000
241,-0.1974,0.0872,-0.0351,22.0000
242,-0.1974,0.0957,-0.0070,20.1000
243,-0.1974,0.0405,-0.0395,22.2000
244,-0.1974,0.0455,-0.2059,23.7000
245,0.0686,0.0399,-0.0042,17.6000
246,0.0686,0.0818,0.1602,18.5000
247,0.0686,0.0845,-0.0964,24.3000
248,0.0686,0.0491,-0.0691,20.5000
249,0.0686,0.0455,-0.0865,24.5000
250,0.0686,0.0935,-0.1681,26.2000
251,0.0686,0.0999,-0.1863,24.4000
252,0.0686,0.0514,-0.2501,24.8000
253,0.0686,0.0742,-0.2517,29.6000
254,0.0686,0.1014,-0.2515,42.8000
255,-0.2187,0.0913,-0.1679,21.9000
256,-0.2187,0.0971,-0.0939,20.9000
257,-0.2719,0.0748,-0.2633,44.0000
258,-0.5804,0.0833,-0.2079,50.0000
259,-0.5804,0.0671,-0.1342,36.0000
260,-0.5804,0.0889,-0.1587,30.1000
261,-0.5804,0.0911,-0.0845,33.8000
262,-0.5804,0.0799,-0.1488,43.1000
263,-0.5804,0.0761,-0.1861,48.8000
264,-0.5804,0.0927,-0.0387,31.0000
265,-0.5804,0.0787,-0.1256,36.5000
266,-0.5804,0.0901,-0.0608,22.8000
267,-0.5804,0.0691,0.0590,30.7000
268,-0.5804,0.0703,-0.1438,50.0000
269,-0.5804,0.0848,-0.2619,43.5000
270,0.0154,0.0874,0.0275,20.7000
271,0.0154,0.0806,0.0096,21.1000
272,0.0154,0.1014,-0.1673,25.2000
273,0.0154,0.0965,-0.1358,24.4000
274,0.0154,0.0860,-0.1676,35.2000
275,-0.0910,0.1014,-0.2517,32.4000
276,-0.0910,0.1014,-0.2669,32.0000
277,-0.0910,0.0821,-0.1822,33.2000
278,-0.0910,0.0927,-0.2344,33.1000
279,-0.0910,0.1014,-0.1507,29.1000
280,-0.3782,0.1014,-0.2153,35.1000
281,-0.3782,0.0773,-0.2454,45.4000
282,-0.3782,0.0897,-0.2225,35.4000
283,-0.3782,0.0514,-0.2661,46.0000
284,-0.5165,0.0980,-0.2619,50.0000
285,-0.3357,0.0959,-0.1325,32.2000
286,-0.3357,0.0959,-0.1220,22.0000
287,-0.0272,-0.0380,0.0076,20.1000
288,-0.1974,0.1014,-0.1521,23.2000
289,-0.1974,0.1014,-0.1394,22.3000
290,-0.1974,0.0379,-0.0867,24.8000
291,0.0792,0.1014,-0.2573,28.5000
292,0.0792,0.1014,-0.2509,37.3000
293,0.0792,0.1014,-0.2195,27.9000
294,-0.2612,0.1014,-0.1124,23.9000
295,-0.2612,0.1014,-0.0622,21.7000
296,-0.2612,0.1014,-0.1761,28.6000
297,-0.2612,0.0912,-0.1452,27.1000
298,-0.2612,0.1014,0.0879,20.3000
299,-0.3889,0.0292,-0.2120,22.5000
300,-0.3889,0.0376,-0.2184,29.0000
301,-0.3889,0.0862,-0.1817,24.8000
302,-0.2506,0.0985,-0.0870,22.0000
303,-0.2506,0.0679,-0.1099,26.4000
304,-0.2506,0.0851,-0.2150,33.1000
305,-0.0059,0.0933,-0.1579,36.1000
306,-0.0059,0.0925,-0.1027,28.4000
307,-0.0059,0.1014,-0.1706,33.4000
308,-0.0059,0.1014,-0.1414,28.2000
309,-0.0059,0.1014,-0.2239,22.8000
310,-0.0059,0.0998,-0.0740,20.3000
311,-0.0059,-0.0157,-0.0004,16.1000
312,-0.0059,0.1014,-0.1841,22.1000
313,-0.0059,0.0999,-0.0257,19.4000
314,-0.0059,0.0926,-0.1312,21.6000
315,-0.0059,0.0984,-0.0931,23.8000
316,-0.0059,0.1002,-0.0318,16.2000
317,-0.0059,0.0858,0.1566,17.8000
318,-0.0059,0.1014,0.0907,19.8000
319,-0.0059,0.0972,-0.0633,23.1000
320,-0.0059,0.0997,0.0021,21.0000
321,0.1218,0.1014,-0.1505,23.8000
322,0.1218,0.1014,-0.1596,23.1000
323,0.1218,0.1014,-0.1367,20.4000
324,0.1218,0.0869,-0.0252,18.5000
325,0.1218,0.1014,-0.1803,25.0000
326,0.1218,0.0933,-0.2090,24.6000
327,0.1218,0.1014,-0.1794,23.0000
328,0.1218,0.1014,0.0038,22.2000
329,-0.1655,0.0650,-0.0740,19.3000
330,-0.1655,0.0467,-0.1466,22.6000
331,-0.1655,0.0300,-0.0983,19.8000
332,-0.1655,0.0942,-0.0062,17.1000
333,-0.1655,0.0141,-0.1331,19.4000
334,0.1856,0.0833,-0.1924,22.2000
335,0.1856,0.0825,-0.1629,20.7000
336,0.1856,0.1014,-0.1281,21.1000
337,0.1856,0.1014,-0.0787,19.5000
338,0.1856,0.0962,-0.0578,18.5000
339,0.1856,0.0995,-0.1143,20.6000
340,0.1856,0.1014,-0.0804,19.0000
341,0.1856,0.1014,-0.0928,18.7000
342,-0.3144,0.0960,-0.1977,32.7000
343,-0.2719,0.0839,-0.1105,16.5000
344,-0.0910,0.1014,-0.1510,23.9000
345,-0.0910,0.0789,-0.2219,31.2000
346,0.0366,0.0730,-0.0586,17.5000
347,0.0366,0.0200,0.0005,17.2000
348,-0.0591,0.0902,-0.1736,23.1000
349,-0.1548,0.0864,-0.1839,24.5000
350,0.1324,0.0837,-0.1866,26.6000
351,0.1324,0.1014,-0.1841,22.9000
352,-0.0165,0.0356,-0.1977,24.1000
353,-0.0165,0.0899,-0.1342,18.6000
354,-0.1548,0.0701,-0.2250,30.1000
355,0.3771,0.0659,-0.1270,18.2000
356,0.3771,0.0488,-0.1954,20.6000
357,0.1856,0.0531,0.1365,17.8000
358,0.1856,0.0874,0.0170,21.7000
359,0.1856,0.0977,-0.0324,22.7000
360,0.1856,0.0859,0.0005,22.6000
361,0.1856,0.0451,-0.1342,25.0000
362,0.1856,-0.0152,0.0424,19.9000
363,0.1856,0.0608,-0.0680,20.8000
364,0.1856,-0.0092,0.0548,16.8000
365,0.1856,-0.0054,-0.2032,21.9000
366,0.1856,-0.0050,-0.1527,27.5000
367,0.1856,-0.1025,0.0372,21.9000
368,0.1856,-0.5680,0.0187,23.1000
369,0.1856,0.0475,-0.2592,50.0000
370,0.1856,0.0470,-0.2462,50.0000
371,0.1856,0.0892,-0.2675,50.0000
372,0.1856,0.0239,-0.0862,50.0000
373,0.1856,-0.0222,-0.1041,50.0000
374,0.1856,0.1014,0.6103,13.8000
375,0.1856,0.1014,0.6986,13.8000
376,0.1856,0.1014,0.0217,15.0000
377,0.1856,0.0160,0.2921,13.9000
378,0.1856,0.1014,0.2369,13.3000
379,0.1856,0.1014,0.3046,13.1000
380,0.1856,0.0935,0.2518,10.2000
381,0.1856,0.1014,0.1257,10.4000
382,0.1856,0.1014,0.2325,10.9000
383,0.1856,0.1014,0.3021,11.3000
384,0.1856,0.1014,0.3286,12.3000
385,0.1856,-0.1786,0.4961,8.8000
386,0.1856,0.1014,0.5010,7.2000
387,0.1856,0.1014,0.4312,10.5000
388,0.1856,0.1014,0.5336,7.4000
389,0.1856,0.0410,0.4958,10.2000
390,0.1856,0.1014,0.2262,11.5000
391,0.1856,0.0952,0.1230,15.1000
392,0.1856,0.0547,0.1685,23.2000
393,0.1856,0.1014,0.3595,9.7000
394,0.1856,0.1014,0.0695,13.8000
395,0.1856,0.1014,0.1020,12.7000
396,0.1856,0.0890,0.1233,13.1000
397,0.1856,0.1014,0.1853,12.5000
398,0.1856,0.0919,0.2005,8.5000
399,0.1856,0.1014,0.4949,5.0000
400,0.1856,-0.0467,0.4778,6.3000
401,0.1856,0.1014,0.3895,5.6000
402,0.1856,0.1014,0.2116,7.2000
403,0.1856,0.0490,0.2113,12.1000
404,0.1856,0.1014,0.1964,8.3000