id,CRIM,ZN,INDUS,CHAS,NOX,RM
1,0.00632,18.00,2.310,0,0.5380,6.5750
2,0.02731,0.00,7.070,0,0.4690,6.4210
3,0.02729,0.00,7.070,0,0.4690,7.1850
4,0.03237,0.00,2.180,0,0.4580,6.9980
5,0.06905,0.00,2.180,0,0.4580,7.1470
6,0.08829,12.50,7.870,0,0.5240,6.0120
7,0.14455,12.50,7.870,0,0.5240,6.1720
8,0.21124,12.50,7.870,0,0.5240,5.6310
9,0.17004,12.50,7.870,0,0.5240,6.0040
10,0.11747,12.50,7.870,0,0.5240,6.0090
11,0.09378,12.50,7.870,0,0.5240,5.8890
12,0.62976,0.00,8.140,0,0.5380,5.9490
13,0.63796,0.00,8.140,0,0.5380,6.0960
14,0.62739,0.00,8.140,0,0.5380,5.8340
15,1.05393,0.00,8.140,0,0.5380,5.9350
16,0.78420,0.00,8.140,0,0.5380,5.9900
17,0.80271,0.00,8.140,0,0.5380,5.4560
18,0.72580,0.00,8.140,0,0.5380,5.7270
19,1.25179,0.00,8.140,0,0.5380,5.5700
20,0.85204,0.00,8.140,0,0.5380,5.9650
21,1.23247,0.00,8.140,0,0.5380,6.1420
22,0.98843,0.00,8.140,0,0.5380,5.8130
23,0.84054,0.00,8.140,0,0.5380,5.5990
24,0.67191,0.00,8.140,0,0.5380,5.8130
25,0.95577,0.00,8.140,0,0.5380,6.0470
26,0.77299,0.00,8.140,0,0.5380,6.4950
27,1.00245,0.00,8.140,0,0.5380,6.6740
28,1.13081,0.00,8.140,0,0.5380,5.7130
29,1.38799,0.00,8.140,0,0.5380,5.9500
30,1.15172,0.00,8.140,0,0.5380,5.7010
31,1.61282,0.00,8.140,0,0.5380,6.0960
32,0.06417,0.00,5.960,0,0.4990,5.9330
33,0.09744,0.00,5.960,0,0.4990,5.8410
34,0.08014,0.00,5.960,0,0.4990,5.8500
35,0.17505,0.00,5.960,0,0.4990,5.9660
36,0.03359,75.00,2.950,0,0.4280,7.0240
37,0.12744,0.00,6.910,0,0.4480,6.7700
38,0.14150,0.00,6.910,0,0.4480,6.1690
39,0.15936,0.00,6.910,0,0.4480,6.2110
40,0.12269,0.00,6.910,0,0.4480,6.0690
41,0.18836,0.00,6.910,0,0.4480,5.7860
42,0.22927,0.00,6.910,0,0.4480,6.0300
43,0.25387,0.00,6.910,0,0.4480,5.3990
44,0.21977,0.00,6.910,0,0.4480,5.6020
45,0.08873,21.00,5.640,0,0.4390,5.9630
46,0.04337,21.00,5.640,0,0.4390,6.1150
47,0.05360,21.00,5.640,0,0.4390,6.5110
48,0.04981,21.00,5.640,0,0.4390,5.9980
49,0.02055,85.00,0.740,0,0.4100,6.3830
50,0.01432,100.00,1.320,0,0.4110,6.8160
51,0.15445,25.00,5.130,0,0.4530,6.1450
52,0.10328,25.00,5.130,0,0.4530,5.9270
53,0.14932,25.00,5.130,0,0.4530,5.7410
54,0.17171,25.00,5.130,0,0.4530,5.9660
55,0.11027,25.00,5.130,0,0.4530,6.4560
56,0.12650,25.00,5.130,0,0.4530,6.7620
57,0.01951,17.50,1.380,0,0.4161,7.1040
58,0.03584,80.00,3.370,0,0.3980,6.2900
59,0.04379,80.00,3.370,0,0.3980,5.7870
60,0.05789,12.50,6.070,0,0.4090,5.8780
61,0.13554,12.50,6.070,0,0.4090,5.5940
62,0.12816,12.50,6.070,0,0.4090,5.8850
63,0.08826,0.00,10.810,0,0.4130,6.4170
64,0.15876,0.00,10.810,0,0.4130,5.9610
65,0.09164,0.00,10.810,0,0.4130,6.0650
66,0.19539,0.00,10.810,0,0.4130,6.2450
67,0.07896,0.00,12.830,0,0.4370,6.2730
68,0.09512,0.00,12.830,0,0.4370,6.2860
69,0.08707,0.00,12.830,0,0.4370,6.1400
70,0.05646,0.00,12.830,0,0.4370,6.2320
71,0.04113,25.00,4.860,0,0.4260,6.7270
72,0.03659,25.00,4.860,0,0.4260,6.3020
73,0.03551,25.00,4.860,0,0.4260,6.1670
74,0.05059,0.00,4.490,0,0.4490,6.3890
75,0.05735,0.00,4.490,0,0.4490,6.6300
76,0.07151,0.00,4.490,0,0.4490,6.1210
77,0.05660,0.00,3.410,0,0.4890,7.0070
78,0.05302,0.00,3.410,0,0.4890,7.0790
79,0.04684,0.00,3.410,0,0.4890,6.4170
80,0.03932,0.00,3.410,0,0.4890,6.4050
81,0.02875,28.00,15.040,0,0.4640,6.2110
82,0.04294,28.00,15.040,0,0.4640,6.2490
83,0.12204,0.00,2.890,0,0.4450,6.6250
84,0.11504,0.00,2.890,0,0.4450,6.1630
85,0.12083,0.00,2.890,0,0.4450,8.0690
86,0.08187,0.00,2.890,0,0.4450,7.8200
87,0.06860,0.00,2.890,0,0.4450,7.4160
88,0.14866,0.00,8.560,0,0.5200,6.7270
89,0.11432,0.00,8.560,0,0.5200,6.7810
90,0.21161,0.00,8.560,0,0.5200,6.1370
91,0.13960,0.00,8.560,0,0.5200,6.1670
92,0.13262,0.00,8.560,0,0.5200,5.8510
93,0.17120,0.00,8.560,0,0.5200,5.8360
94,0.12802,0.00,8.560,0,0.5200,6.4740
95,0.26363,0.00,8.560,0,0.5200,6.2290
96,0.10793,0.00,8.560,0,0.5200,6.1950
97,0.10084,0.00,10.010,0,0.5470,6.7150
98,0.12329,0.00,10.010,0,0.5470,5.9130
99,0.22212,0.00,10.010,0,0.5470,6.0920
100,0.14231,0.00,10.010,0,0.5470,6.2540
101,0.17134,0.00,10.010,0,0.5470,5.9280
102,0.15098,0.00,10.010,0,0.5470,6.0210
103,0.13058,0.00,10.010,0,0.5470,5.8720
104,0.14476,0.00,10.010,0,0.5470,5.7310
105,0.06899,0.00,25.650,0,0.5810,5.8700
106,0.07165,0.00,25.650,0,0.5810,6.0040
107,0.15038,0.00,25.650,0,0.5810,5.8560
108,0.09849,0.00,25.650,0,0.5810,5.8790
109,0.16902,0.00,25.650,0,0.5810,5.9860
110,0.38735,0.00,25.650,0,0.5810,5.6130
111,0.25915,0.00,21.890,0,0.6240,5.6930
112,0.32543,0.00,21.890,0,0.6240,6.4310
113,0.88125,0.00,21.890,0,0.6240,5.6370
114,0.34006,0.00,21.890,0,0.6240,6.4580
115,1.19294,0.00,21.890,0,0.6240,6.3260
116,0.59005,0.00,21.890,0,0.6240,6.3720
117,0.32982,0.00,21.890,0,0.6240,5.8220
118,0.97617,0.00,21.890,0,0.6240,5.7570
119,0.55778,0.00,21.890,0,0.6240,6.3350
120,0.32264,0.00,21.890,0,0.6240,5.9420
121,0.35233,0.00,21.890,0,0.6240,6.4540
122,0.24980,0.00,21.890,0,0.6240,5.8570
123,0.54452,0.00,21.890,0,0.6240,6.1510
124,0.29090,0.00,21.890,0,0.6240,6.1740
125,1.62864,0.00,21.890,0,0.6240,5.0190
126,3.32105,0.00,19.580,1,0.8710,5.4030
127,2.77974,0.00,19.580,0,0.8710,4.9030
128,2.37934,0.00,19.580,0,0.8710,6.1300
129,2.15505,0.00,19.580,0,0.8710,5.6280
130,2.36862,0.00,19.580,0,0.8710,4.9260
131,2.33099,0.00,19.580,0,0.8710,5.1860
132,2.73397,0.00,19.580,0,0.8710,5.5970
133,1.65660,0.00,19.580,0,0.8710,6.1220
134,1.49632,0.00,19.580,0,0.8710,5.4040
135,1.12658,0.00,19.580,1,0.8710,5.0120
136,1.41385,0.00,19.580,1,0.8710,6.1290
137,3.53501,0.00,19.580,1,0.8710,6.1520
138,2.44668,0.00,19.580,0,0.8710,5.2720
139,1.22358,0.00,19.580,0,0.6050,6.9430
140,1.34284,0.00,19.580,0,0.6050,6.0660
141,1.42502,0.00,19.580,0,0.8710,6.5100
142,1.27346,0.00,19.580,1,0.6050,6.2500
143,1.46336,0.00,19.580,0,0.6050,7.4890
144,1.83377,0.00,19.580,1,0.6050,7.8020
145,2.24236,0.00,19.580,0,0.6050,5.8540
146,2.92400,0.00,19.580,0,0.6050,6.1010
147,1.80028,0.00,19.580,0,0.6050,5.8770
148,2.44953,0.00,19.580,0,0.6050,6.4020
149,1.20742,0.00,19.580,0,0.6050,5.8750
150,2.31390,0.00,19.580,0,0.6050,5.8800
151,0.13914,0.00,4.050,0,0.5100,5.5720
152,0.09178,0.00,4.050,0,0.5100,6.4160
153,0.08447,0.00,4.050,0,0.5100,5.8590
154,0.06664,0.00,4.050,0,0.5100,6.5460
155,0.07022,0.00,4.050,0,0.5100,6.0200
156,0.05425,0.00,4.050,0,0.5100,6.3150
157,0.06642,0.00,4.050,0,0.5100,6.8600
158,0.05780,0.00,2.460,0,0.4880,6.9800
159,0.06588,0.00,2.460,0,0.4880,7.7650
160,0.06888,0.00,2.460,0,0.4880,6.1440
161,0.09103,0.00,2.460,0,0.4880,7.1550
162,0.10008,0.00,2.460,0,0.4880,6.5630
163,0.08308,0.00,2.460,0,0.4880,5.6040
164,0.06047,0.00,2.460,0,0.4880,6.1530
165,0.05602,0.00,2.460,0,0.4880,7.8310
166,0.07875,45.00,3.440,0,0.4370,6.7820
167,0.12579,45.00,3.440,0,0.4370,6.5560
168,0.08370,45.00,3.440,0,0.4370,7.1850
169,0.09068,45.00,3.440,0,0.4370,6.9510
170,0.06911,45.00,3.440,0,0.4370,6.7390
171,0.08664,45.00,3.440,0,0.4370,7.1780
172,0.02187,60.00,2.930,0,0.4010,6.8000
173,0.01439,60.00,2.930,0,0.4010,6.6040
174,0.01381,80.00,0.460,0,0.4220,7.8750
175,0.04011,80.00,1.520,0,0.4040,7.2870
176,0.04666,80.00,1.520,0,0.4040,7.1070
177,0.03768,80.00,1.520,0,0.4040,7.2740
178,0.03150,95.00,1.470,0,0.4030,6.9750
179,0.01778,95.00,1.470,0,0.4030,7.1350
180,0.03510,95.00,2.680,0,0.4161,7.8530
181,0.02009,95.00,2.680,0,0.4161,8.0340
182,0.13642,0.00,10.590,0,0.4890,5.8910
183,0.22969,0.00,10.590,0,0.4890,6.3260
184,0.25199,0.00,10.590,0,0.4890,5.7830
185,0.13587,0.00,10.590,1,0.4890,6.0640
186,0.43571,0.00,10.590,1,0.4890,5.3440
187,0.37578,0.00,10.590,1,0.4890,5.4040
188,0.21719,0.00,10.590,1,0.4890,5.8070
189,0.14052,0.00,10.590,0,0.4890,6.3750
190,0.28955,0.00,10.590,0,0.4890,5.4120
191,0.04560,0.00,13.890,1,0.5500,5.8880
192,0.07013,0.00,13.890,0,0.5500,6.6420
193,0.11069,0.00,13.890,1,0.5500,5.9510
194,0.11425,0.00,13.890,1,0.5500,6.3730
195,0.35809,0.00,6.200,1,0.5070,6.9510
196,0.40771,0.00,6.200,1,0.5070,6.1640
197,0.62356,0.00,6.200,1,0.5070,6.8790
198,0.61470,0.00,6.200,0,0.5070,6.6180
199,0.31533,0.00,6.200,0,0.5040,8.2660
200,0.52693,0.00,6.200,0,0.5040,8.7250
201,0.38214,0.00,6.200,0,0.5040,8.0400
202,0.41238,0.00,6.200,0,0.5040,7.1630
203,0.29819,0.00,6.200,0,0.5040,7.6860
204,0.44178,0.00,6.200,0,0.5040,6.5520
205,0.53700,0.00,6.200,0,0.5040,5.9810
206,0.46296,0.00,6.200,0,0.5040,7.4120
207,0.33147,0.00,6.200,0,0.5070,8.2470
208,0.33045,0.00,6.200,0,0.5070,6.0860
209,0.52058,0.00,6.200,1,0.5070,6.6310
210,0.51183,0.00,6.200,0,0.5070,7.3580
211,0.08244,30.00,4.930,0,0.4280,6.4810
212,0.09252,30.00,4.930,0,0.4280,6.6060
213,0.11329,30.00,4.930,0,0.4280,6.8970
214,0.10612,30.00,4.930,0,0.4280,6.0950
215,0.12757,30.00,4.930,0,0.4280,6.3930
216,0.20608,22.00,5.860,0,0.4310,5.5930
217,0.19133,22.00,5.860,0,0.4310,5.6050
218,0.33983,22.00,5.860,0,0.4310,6.1080
219,0.19657,22.00,5.860,0,0.4310,6.2260
220,0.16439,22.00,5.860,0,0.4310,6.4330
221,0.19073,22.00,5.860,0,0.4310,6.7180
222,0.14030,22.00,5.860,0,0.4310,6.4870
223,0.21409,22.00,5.860,0,0.4310,6.4380
224,0.08221,22.00,5.860,0,0.4310,6.9570
225,0.36894,22.00,5.860,0,0.4310,8.2590
226,0.04819,80.00,3.640,0,0.3920,6.1080
227,0.03548,80.00,3.640,0,0.3920,5.8760
228,0.01538,90.00,3.750,0,0.3940,7.4540
229,0.61154,20.00,3.970,0,0.6470,8.7040
230,0.66351,20.00,3.970,0,0.6470,7.3330
231,0.65665,20.00,3.970,0,0.6470,6.8420
232,0.54011,20.00,3.970,0,0.6470,7.2030
233,0.53412,20.00,3.970,0,0.6470,7.5200
234,0.52014,20.00,3.970,0,0.6470,8.3980
235,0.82526,20.00,3.970,0,0.6470,7.3270
236,0.55007,20.00,3.970,0,0.6470,7.2060
237,0.76162,20.00,3.970,0,0.6470,5.5600
238,0.78570,20.00,3.970,0,0.6470,7.0140
239,0.57834,20.00,3.970,0,0.5750,8.2970
240,0.54050,20.00,3.970,0,0.5750,7.4700
241,0.29916,20.00,6.960,0,0.4640,5.8560
242,0.16211,20.00,6.960,0,0.4640,6.2400
243,0.11460,20.00,6.960,0,0.4640,6.5380
244,0.22188,20.00,6.960,1,0.4640,7.6910
245,0.05644,40.00,6.410,1,0.4470,6.7580
246,0.09604,40.00,6.410,0,0.4470,6.8540
247,0.10469,40.00,6.410,1,0.4470,7.2670
248,0.06127,40.00,6.410,1,0.4470,6.8260
249,0.21038,20.00,3.330,0,0.4429,6.8120
250,0.03578,20.00,3.330,0,0.4429,7.8200
251,0.03705,20.00,3.330,0,0.4429,6.9680
252,0.06129,20.00,3.330,1,0.4429,7.6450
253,0.01501,90.00,1.210,1,0.4010,7.9230
254,0.00906,90.00,2.970,0,0.4000,7.0880
255,0.01096,55.00,2.250,0,0.3890,6.4530
256,0.01965,80.00,1.760,0,0.3850,6.2300
257,0.03871,52.50,5.320,0,0.4050,6.2090
258,0.04590,52.50,5.320,0,0.4050,6.3150
259,0.04297,52.50,5.320,0,0.4050,6.5650
260,0.07886,80.00,4.950,0,0.4110,7.1480
261,0.03615,80.00,4.950,0,0.4110,6.6300
262,0.08199,0.00,13.920,0,0.4370,6.0090
263,0.12932,0.00,13.920,0,0.4370,6.6780
264,0.05372,0.00,13.920,0,0.4370,6.5490
265,0.14103,0.00,13.920,0,0.4370,5.7900
266,0.06466,70.00,2.240,0,0.4000,6.3450
267,0.05561,70.00,2.240,0,0.4000,7.0410
268,0.04417,70.00,2.240,0,0.4000,6.8710
269,0.03537,34.00,6.090,0,0.4330,6.5900
270,0.09266,34.00,6.090,0,0.4330,6.4950
271,0.10000,34.00,6.090,0,0.4330,6.9820
272,0.05515,33.00,2.180,0,0.4720,7.2360
273,0.05479,33.00,2.180,0,0.4720,6.6160
274,0.07503,33.00,2.180,0,0.4720,7.4200
275,0.04932,33.00,2.180,0,0.4720,6.8490
276,0.49298,0.00,9.900,0,0.5440,6.6350
277,0.34940,0.00,9.900,0,0.5440,5.9720
278,2.63548,0.00,9.900,0,0.5440,4.9730
279,0.79041,0.00,9.900,0,0.5440,6.1220
280,0.26169,0.00,9.900,0,0.5440,6.0230
281,0.26938,0.00,9.900,0,0.5440,6.2660
282,0.36920,0.00,9.900,0,0.5440,6.5670
283,0.25356,0.00,9.900,0,0.5440,5.7050
284,0.31827,0.00,9.900,0,0.5440,5.9140
285,0.24522,0.00,9.900,0,0.5440,5.7820
286,0.40202,0.00,9.900,0,0.5440,6.3820
287,0.47547,0.00,9.900,0,0.5440,6.1130
288,0.16760,0.00,7.380,0,0.4930,6.4260
289,0.18159,0.00,7.380,0,0.4930,6.3760
290,0.35114,0.00,7.380,0,0.4930,6.0410
291,0.28392,0.00,7.380,0,0.4930,5.7080
292,0.19186,0.00,7.380,0,0.4930,6.4310
293,0.30347,0.00,7.380,0,0.4930,6.3120
294,0.24103,0.00,7.380,0,0.4930,6.0830
295,0.06617,0.00,3.240,0,0.4600,5.8680
296,0.06724,0.00,3.240,0,0.4600,6.3330
297,0.04544,0.00,3.240,0,0.4600,6.1440
298,0.05023,35.00,6.060,0,0.4379,5.7060
299,0.03466,35.00,6.060,0,0.4379,6.0310
300,0.05083,0.00,5.190,0,0.5150,6.3160
301,0.03738,0.00,5.190,0,0.5150,6.3100
302,0.03961,0.00,5.190,0,0.5150,6.0370
303,0.03427,0.00,5.190,0,0.5150,5.8690
304,0.03306,0.00,5.190,0,0.5150,6.0590
305,0.05497,0.00,5.190,0,0.5150,5.9850
306,0.06151,0.00,5.190,0,0.5150,5.9680
307,0.01301,35.00,1.520,0,0.4420,7.2410
308,0.02498,0.00,1.890,0,0.5180,6.5400
309,0.02543,55.00,3.780,0,0.4840,6.6960
310,0.03049,55.00,3.780,0,0.4840,6.8740
311,0.03113,0.00,4.390,0,0.4420,6.0140
312,0.06162,0.00,4.390,0,0.4420,5.8980
313,0.01501,80.00,2.010,0,0.4350,6.6350
314,0.02899,40.00,1.250,0,0.4290,6.9390
315,0.06211,40.00,1.250,0,0.4290,6.4900
316,0.07950,60.00,1.690,0,0.4110,6.5790
317,0.07244,60.00,1.690,0,0.4110,5.8840
318,0.01709,90.00,2.020,0,0.4100,6.7280
319,0.04301,80.00,1.910,0,0.4130,5.6630
320,8.98296,0.00,18.100,1,0.7700,6.2120
321,3.84970,0.00,18.100,1,0.7700,6.3950
322,5.20177,0.00,18.100,1,0.7700,6.1270
323,4.26131,0.00,18.100,0,0.7700,6.1120
324,4.54192,0.00,18.100,0,0.7700,6.3980
325,3.83684,0.00,18.100,0,0.7700,6.2510
326,3.67822,0.00,18.100,0,0.7700,5.3620
327,4.22239,0.00,18.100,1,0.7700,5.8030
328,3.47428,0.00,18.100,1,0.7180,8.7800
329,4.55587,0.00,18.100,0,0.7180,3.5610
330,3.69695,0.00,18.100,0,0.7180,4.9630
331,4.89822,0.00,18.100,0,0.6310,4.9700
332,5.66998,0.00,18.100,1,0.6310,6.6830
333,6.53876,0.00,18.100,1,0.6310,7.0160
334,9.23230,0.00,18.100,0,0.6310,6.2160
335,8.26725,0.00,18.100,1,0.6680,5.8750
336,11.10810,0.00,18.100,0,0.6680,4.9060
337,18.49820,0.00,18.100,0,0.6680,4.1380
338,19.60910,0.00,18.100,0,0.6710,7.3130
339,15.28800,0.00,18.100,0,0.6710,6.6490
340,9.82349,0.00,18.100,0,0.6710,6.7940
341,23.64820,0.00,18.100,0,0.6710,6.3800
342,17.86670,0.00,18.100,0,0.6710,6.2230
343,88.97620,0.00,18.100,0,0.6710,6.9680
344,15.87440,0.00,18.100,0,0.6710,6.5450
345,9.18702,0.00,18.100,0,0.7000,5.5360
346,7.99248,0.00,18.100,0,0.7000,5.5200
347,20.08490,0.00,18.100,0,0.7000,4.3680
348,16.81180,0.00,18.100,0,0.7000,5.2770
349,24.39380,0.00,18.100,0,0.7000,4.6520
350,22.59710,0.00,18.100,0,0.7000,5.0000
351,14.33370,0.00,18.100,0,0.7000,4.8800
352,8.15174,0.00,18.100,0,0.7000,5.3900
353,5.29305,0.00,18.100,0,0.7000,6.0510
354,11.57790,0.00,18.100,0,0.7000,5.0360
355,8.64476,0.00,18.100,0,0.6930,6.1930
356,13.35980,0.00,18.100,0,0.6930,5.8870
357,8.71675,0.00,18.100,0,0.6930,6.4710
358,5.87205,0.00,18.100,0,0.6930,6.4050
359,7.67202,0.00,18.100,0,0.6930,5.7470
360,38.35180,0.00,18.100,0,0.6930,5.4530
361,9.91655,0.00,18.100,0,0.6930,5.8520
362,25.04610,0.00,18.100,0,0.6930,5.9870
363,9.59571,0.00,18.100,0,0.6930,6.4040
364,41.52920,0.00,18.100,0,0.6930,5.5310
365,67.92080,0.00,18.100,0,0.6930,5.6830
366,20.71620,0.00,18.100,0,0.6590,4.1380
367,11.95110,0.00,18.100,0,0.6590,5.6080
368,7.40389,0.00,18.100,0,0.5970,5.6170
369,14.43830,0.00,18.100,0,0.5970,6.8520
370,51.13580,0.00,18.100,0,0.5970,5.7570
371,14.05070,0.00,18.100,0,0.5970,6.6570
372,18.81100,0.00,18.100,0,0.5970,4.6280
373,28.65580,0.00,18.100,0,0.5970,5.1550
374,45.74610,0.00,18.100,0,0.6930,4.5190
375,18.08460,0.00,18.100,0,0.6790,6.4340
376,10.83420,0.00,18.100,0,0.6790,6.7820
377,25.94060,0.00,18.100,0,0.6790,5.3040
378,73.53410,0.00,18.100,0,0.6790,5.9570
379,11.81230,0.00,18.100,0,0.7180,6.8240
380,7.02259,0.00,18.100,0,0.7180,6.0060
381,12.04820,0.00,18.100,0,0.6140,5.6480
382,7.05042,0.00,18.100,0,0.6140,6.1030
383,8.79212,0.00,18.100,0,0.5840,5.5650
384,12.24720,0.00,18.100,0,0.5840,5.8370
385,37.66190,0.00,18.100,0,0.6790,6.2020
386,7.36711,0.00,18.100,0,0.6790,6.1930
387,9.33889,0.00,18.100,0,0.6790,6.3800
388,8.49213,0.00,18.100,0,0.5840,6.3480
389,10.06230,0.00,18.100,0,0.5840,6.8330
390,6.44405,0.00,18.100,0,0.5840,6.4250
391,5.58107,0.00,18.100,0,0.7130,6.4360
392,13.91340,0.00,18.100,0,0.7130,6.2080
393,11.16040,0.00,18.100,0,0.7400,6.6290
394,14.42080,0.00,18.100,0,0.7400,6.4610
395,15.17720,0.00,18.100,0,0.7400,6.1520
396,13.67810,0.00,18.100,0,0.7400,5.9350
397,9.39063,0.00,18.100,0,0.7400,5.6270
398,22.05110,0.00,18.100,0,0.7400,5.8180
399,9.72418,0.00,18.100,0,0.7400,6.4060
400,9.96654,0.00,18.100,0,0.7400,6.4850
401,12.80230,0.00,18.100,0,0.7400,5.8540
402,10.67180,0.00,18.100,0,0.7400,6.4590
403,6.28807,0.00,18.100,0,0.7400,6.3410
404,9.92485,0.00,18.100,0,0.7400,6.2510
405,9.32909,0.00,18.100,0,0.7130,6.1850
406,7.52601,0.00,18.100,0,0.7130,6.4170
407,6.71772,0.00,18.100,0,0.7130,6.7490
408,5.44114,0.00,18.100,0,0.7130,6.6550
409,9.51363,0.00,18.100,0,0.7130,6.7280
410,4.75237,0.00,18.100,0,0.7130,6.5250
411,4.66883,0.00,18.100,0,0.7130,5.9760
412,8.20058,0.00,18.100,0,0.7130,5.9360
413,7.75223,0.00,18.100,0,0.7130,6.3010
414,6.80117,0.00,18.100,0,0.7130,6.0810
415,4.81213,0.00,18.100,0,0.7130,6.7010
416,3.69311,0.00,18.100,0,0.7130,6.3760
417,6.65492,0.00,18.100,0,0.7130,6.3170
418,5.82115,0.00,18.100,0,0.7130,6.5130
419,7.83932,0.00,18.100,0,0.6550,6.2090
420,3.16360,0.00,18.100,0,0.6550,5.7590
421,3.77498,0.00,18.100,0,0.6550,5.9520
422,4.42228,0.00,18.100,0,0.5840,6.0030
423,15.57570,0.00,18.100,0,0.5800,5.9260
424,4.34879,0.00,18.100,0,0.5800,6.1670
425,4.03841,0.00,18.100,0,0.5320,6.2290
426,3.56868,0.00,18.100,0,0.5800,6.4370
427,4.64689,0.00,18.100,0,0.6140,6.9800
428,8.05579,0.00,18.100,0,0.5840,5.4270
429,6.39312,0.00,18.100,0,0.5840,6.1620
430,4.87141,0.00,18.100,0,0.6140,6.4840
431,15.02340,0.00,18.100,0,0.6140,5.3040
432,14.33370,0.00,18.100,0,0.6140,6.2290
433,5.82401,0.00,18.100,0,0.5320,6.2420
434,5.70818,0.00,18.100,0,0.5320,6.7500
435,5.73116,0.00,18.100,0,0.5320,7.0610
436,2.81838,0.00,18.100,0,0.5320,5.7620
437,2.37857,0.00,18.100,0,0.5830,5.8710
438,5.69175,0.00,18.100,0,0.5830,6.1140
439,0.15086,0.00,27.740,0,0.6090,5.4540
440,0.18337,0.00,27.740,0,0.6090,5.4140
441,0.20746,0.00,27.740,0,0.6090,5.0930
442,0.10574,0.00,27.740,0,0.6090,5.9830
443,0.11132,0.00,27.740,0,0.6090,5.9830
444,0.17331,0.00,9.690,0,0.5850,5.7070
445,0.27957,0.00,9.690,0,0.5850,5.9260
446,0.17899,0.00,9.690,0,0.5850,5.6700
447,0.28960,0.00,9.690,0,0.5850,5.3900
448,0.26838,0.00,9.690,0,0.5850,5.7940
449,0.23912,0.00,9.690,0,0.5850,6.0190
450,0.17783,0.00,9.690,0,0.5850,5.5690
451,0.22438,0.00,9.690,0,0.5850,6.0270
452,0.06263,0.00,11.930,0,0.5730,6.5930
453,0.04527,0.00,11.930,0,0.5730,6.1200
454,0.06076,0.00,11.930,0,0.5730,6.9760
455,0.10959,0.00,11.930,0,0.5730,6.7940
456,0.04741,0.00,11.930,0,0.5730,6.0300
